amount_vended_L,flavor_id,flavor_levels_after,flavor_name,tank_level_after,timestamp
1.0,12,"500,499,500",orange,749.0,2019-01-01 02:40:55.285684
1.0,12,"500,498,500",orange,748.0,2019-01-01 03:50:10.968582
0.5,12,"500,497,500",orange,747.5,2019-01-01 04:31:15.478012
0.5,-1,"500,497,500",water,747.0,2019-01-01 04:58:04.461528
1.0,12,"500,496,500",orange,746.0,2019-01-01 05:24:55.216076
1.0,12,"500,495,500",orange,745.0,2019-01-01 05:44:03.591892
1.0,12,"500,494,500",orange,744.0,2019-01-01 06:03:11.801747
1.0,12,"500,493,500",orange,743.0,2019-01-01 06:17:53.359043
0.5,12,"500,492,500",orange,742.5,2019-01-01 06:32:31.499892
0.5,12,"500,491,500",orange,742.0,2019-01-01 06:47:12.566608
1.0,12,"500,490,500",orange,741.0,2019-01-01 07:01:51.449154
0.5,-1,"500,490,500",water,740.5,2019-01-01 07:13:43.643551
0.5,-1,"500,490,500",water,740.0,2019-01-01 07:25:35.296961
1.0,12,"500,489,500",orange,739.0,2019-01-01 07:37:29.709825
0.5,12,"500,488,500",orange,738.5,2019-01-01 07:49:21.819062
1.0,12,"500,487,500",orange,737.5,2019-01-01 08:01:15.670923
0.5,12,"500,486,500",orange,737.0,2019-01-01 08:11:25.888079
1.0,12,"500,485,500",orange,736.0,2019-01-01 08:21:34.560680
0.5,-1,"500,485,500",water,735.5,2019-01-01 08:31:38.912241
1.0,12,"500,484,500",orange,734.5,2019-01-01 08:41:42.481305
1.0,12,"500,483,500",orange,733.5,2019-01-01 08:51:46.480141
0.5,12,"500,482,500",orange,733.0,2019-01-01 09:01:50.565308
0.5,12,"500,481,500",orange,732.5,2019-01-01 09:10:44.771658
0.5,12,"500,480,500",orange,732.0,2019-01-01 09:19:39.920969
1.0,-1,"500,480,500",water,731.0,2019-01-01 09:28:35.889077
1.0,12,"500,479,500",orange,730.0,2019-01-01 09:37:30.735667
1.0,12,"500,478,500",orange,729.0,2019-01-01 09:46:26.074847
1.0,12,"500,477,500",orange,728.0,2019-01-01 09:55:21.165482
0.5,-1,"500,477,500",water,727.5,2019-01-01 10:04:16.632600
1.0,12,"500,476,500",orange,726.5,2019-01-01 10:12:29.055140
0.5,-1,"500,476,500",water,726.0,2019-01-01 10:20:41.070536
1.0,12,"500,475,500",orange,725.0,2019-01-01 10:28:53.383961
0.5,-1,"500,475,500",water,724.5,2019-01-01 10:37:05.894807
1.0,12,"500,474,500",orange,723.5,2019-01-01 10:45:17.028488
0.5,12,"500,473,500",orange,723.0,2019-01-01 10:53:28.817835
1.0,12,"500,472,500",orange,722.0,2019-01-01 11:01:40.588771
1.0,-1,"500,472,500",water,721.0,2019-01-01 11:09:29.144559
1.0,12,"500,471,500",orange,720.0,2019-01-01 11:17:17.218966
0.5,-1,"500,471,500",water,719.5,2019-01-01 11:25:06.199739
1.0,25,"500,471,499",pine_needle,718.5,2019-01-01 11:32:54.023047
1.0,12,"500,470,499",orange,717.5,2019-01-01 11:40:42.418710
1.0,-1,"500,470,499",water,716.5,2019-01-01 11:48:33.940833
0.5,-1,"500,470,499",water,716.0,2019-01-01 11:56:21.460699
0.5,12,"500,469,499",orange,715.5,2019-01-01 12:04:14.712445
0.5,12,"500,468,499",orange,715.0,2019-01-01 12:11:55.481625
1.0,12,"500,467,499",orange,714.0,2019-01-01 12:19:37.216509
0.5,12,"500,466,499",orange,713.5,2019-01-01 12:27:18.167114
1.0,12,"500,465,499",orange,712.5,2019-01-01 12:34:59.579870
0.5,-1,"500,465,499",water,712.0,2019-01-01 12:42:39.395858
0.5,-1,"500,465,499",water,711.5,2019-01-01 12:50:19.940319
1.0,25,"500,465,498",pine_needle,710.5,2019-01-01 12:57:59.655662
0.5,12,"500,464,498",orange,710.0,2019-01-01 13:05:40.858386
1.0,-1,"500,464,498",water,709.0,2019-01-01 13:13:28.164352
0.5,12,"500,463,498",orange,708.5,2019-01-01 13:21:17.099040
0.5,-1,"500,463,498",water,708.0,2019-01-01 13:29:04.426135
1.0,12,"500,462,498",orange,707.0,2019-01-01 13:36:54.828202
1.0,12,"500,461,498",orange,706.0,2019-01-01 13:44:42.355367
0.5,-1,"500,461,498",water,705.5,2019-01-01 13:52:30.207650
0.5,12,"500,460,498",orange,705.0,2019-01-01 14:00:17.778817
1.0,12,"500,459,498",orange,704.0,2019-01-01 14:08:28.946689
1.0,12,"500,458,498",orange,703.0,2019-01-01 14:16:41.740769
1.0,-1,"500,458,498",water,702.0,2019-01-01 14:24:52.881298
0.5,12,"500,457,498",orange,701.5,2019-01-01 14:33:04.008854
1.0,12,"500,456,498",orange,700.5,2019-01-01 14:41:16.147215
0.5,12,"500,455,498",orange,700.0,2019-01-01 14:49:27.278645
0.5,-1,"500,455,498",water,699.5,2019-01-01 14:57:38.537401
1.0,12,"500,454,498",orange,698.5,2019-01-01 15:05:51.947836
1.0,-1,"500,454,498",water,697.5,2019-01-01 15:14:47.589733
0.5,12,"500,453,498",orange,697.0,2019-01-01 15:23:41.887813
