amount_vended_L,flavor_id,flavor_levels_after,flavor_name,tank_level_after,timestamp
1.0,1,"499,500,500",lime,749.0,2019-01-01 01:50:11.934485
0.5,1,"498,500,500",lime,748.5,2019-01-01 03:12:33.870154
1.0,1,"497,500,500",lime,747.5,2019-01-01 03:40:37.398547
1.0,1,"496,500,500",lime,746.5,2019-01-01 04:08:40.396707
1.0,4,"496,499,500",cranberry,745.5,2019-01-01 04:27:03.926055
1.0,4,"496,498,500",cranberry,744.5,2019-01-01 04:45:26.687298
1.0,1,"495,498,500",lime,743.5,2019-01-01 05:03:49.215868
1.0,1,"494,498,500",lime,742.5,2019-01-01 05:17:00.220350
0.5,17,"494,498,499",peach,742.0,2019-01-01 05:30:06.757195
0.5,1,"493,498,499",lime,741.5,2019-01-01 05:43:17.120153
1.0,1,"492,498,499",lime,740.5,2019-01-01 05:56:28.736656
0.5,1,"491,498,499",lime,740.0,2019-01-01 06:09:38.928235
0.5,-1,"491,498,499",water,739.5,2019-01-01 06:19:41.358313
1.0,1,"490,498,499",lime,738.5,2019-01-01 06:29:47.197119
0.5,17,"490,498,498",peach,738.0,2019-01-01 06:39:50.190276
1.0,17,"490,498,497",peach,737.0,2019-01-01 06:49:55.336081
0.5,17,"490,498,496",peach,736.5,2019-01-01 07:00:06.256380
1.0,17,"490,498,495",peach,735.5,2019-01-01 07:08:18.993838
0.5,-1,"490,498,495",water,735.0,2019-01-01 07:16:26.643301
1.0,4,"490,497,495",cranberry,734.0,2019-01-01 07:24:33.371379
1.0,1,"489,497,495",lime,733.0,2019-01-01 07:32:40.605511
0.5,4,"489,496,495",cranberry,732.5,2019-01-01 07:40:47.465941
1.0,1,"488,496,495",lime,731.5,2019-01-01 07:48:55.333928
0.5,4,"488,495,495",cranberry,731.0,2019-01-01 07:57:03.063939
1.0,-1,"488,495,495",water,730.0,2019-01-01 08:05:11.882877
1.0,4,"488,494,495",cranberry,729.0,2019-01-01 08:12:05.751490
1.0,1,"487,494,495",lime,728.0,2019-01-01 08:19:00.176454
1.0,1,"486,494,495",lime,727.0,2019-01-01 08:25:54.320701
0.5,-1,"486,494,495",water,726.5,2019-01-01 08:32:48.890164
1.0,4,"486,493,495",cranberry,725.5,2019-01-01 08:39:43.752728
0.5,-1,"486,493,495",water,725.0,2019-01-01 08:46:38.115007
1.0,1,"485,493,495",lime,724.0,2019-01-01 08:53:32.843495
1.0,4,"485,492,495",cranberry,723.0,2019-01-01 09:00:25.999793
1.0,1,"484,492,495",lime,722.0,2019-01-01 09:06:31.914072
1.0,1,"483,492,495",lime,721.0,2019-01-01 09:12:37.792794
0.5,1,"482,492,495",lime,720.5,2019-01-01 09:18:46.805475
0.5,-1,"482,492,495",water,720.0,2019-01-01 09:24:55.094000
1.0,-1,"482,492,495",water,719.0,2019-01-01 09:31:04.936759
0.5,1,"481,492,495",lime,718.5,2019-01-01 09:37:11.667703
1.0,1,"480,492,495",lime,717.5,2019-01-01 09:43:17.525925
1.0,1,"479,492,495",lime,716.5,2019-01-01 09:49:24.596419
1.0,17,"479,492,494",peach,715.5,2019-01-01 09:55:30.653106
0.5,-1,"479,492,494",water,715.0,2019-01-01 10:01:36.722368
0.5,4,"479,491,494",cranberry,714.5,2019-01-01 10:07:19.224495
0.5,1,"478,491,494",lime,714.0,2019-01-01 10:12:56.595598
1.0,4,"478,490,494",cranberry,713.0,2019-01-01 10:18:33.056669
1.0,4,"478,489,494",cranberry,712.0,2019-01-01 10:24:11.998348
1.0,1,"477,489,494",lime,711.0,2019-01-01 10:29:49.835689
0.5,-1,"477,489,494",water,710.5,2019-01-01 10:35:26.174037
1.0,1,"476,489,494",lime,709.5,2019-01-01 10:41:03.533788
0.5,1,"475,489,494",lime,709.0,2019-01-01 10:46:43.107224
1.0,1,"474,489,494",lime,708.0,2019-01-01 10:52:19.338658
1.0,1,"473,489,494",lime,707.0,2019-01-01 10:57:56.712334
0.5,4,"473,488,494",cranberry,706.5,2019-01-01 11:03:35.104044
1.0,1,"472,488,494",lime,705.5,2019-01-01 11:08:55.700421
1.0,17,"472,488,493",peach,704.5,2019-01-01 11:14:21.085170
0.5,1,"471,488,493",lime,704.0,2019-01-01 11:19:43.397132
1.0,-1,"471,488,493",water,703.0,2019-01-01 11:25:03.845213
1.0,17,"471,488,492",peach,702.0,2019-01-01 11:30:24.262088
0.5,1,"470,488,492",lime,701.5,2019-01-01 11:35:47.465900
1.0,1,"469,488,492",lime,700.5,2019-01-01 11:41:10.222095
0.5,1,"468,488,492",lime,700.0,2019-01-01 11:46:30.506961
1.0,4,"468,487,492",cranberry,699.0,2019-01-01 11:51:51.357489
0.5,4,"468,486,492",cranberry,698.5,2019-01-01 11:57:13.846818
1.0,1,"467,486,492",lime,697.5,2019-01-01 12:02:36.991633
1.0,1,"466,486,492",lime,696.5,2019-01-01 12:07:51.850832
1.0,4,"466,485,492",cranberry,695.5,2019-01-01 12:13:07.818613
1.0,4,"466,484,492",cranberry,694.5,2019-01-01 12:18:24.602108
1.0,-1,"466,484,492",water,693.5,2019-01-01 12:23:39.487237
0.5,4,"466,483,492",cranberry,693.0,2019-01-01 12:28:55.019371
1.0,1,"465,483,492",lime,692.0,2019-01-01 12:34:09.964449
1.0,-1,"465,483,492",water,691.0,2019-01-01 12:39:25.399928
1.0,1,"464,483,492",lime,690.0,2019-01-01 12:44:41.765258
1.0,1,"463,483,492",lime,689.0,2019-01-01 12:49:56.791701
0.5,17,"463,483,491",peach,688.5,2019-01-01 12:55:11.630979
0.5,1,"462,483,491",lime,688.0,2019-01-01 13:00:26.809593
1.0,4,"462,482,491",cranberry,687.0,2019-01-01 13:05:49.876656
1.0,17,"462,482,490",peach,686.0,2019-01-01 13:11:09.844139
1.0,4,"462,481,490",cranberry,685.0,2019-01-01 13:16:30.481661
1.0,17,"462,481,489",peach,684.0,2019-01-01 13:21:51.715382
0.5,17,"462,481,488",peach,683.5,2019-01-01 13:27:12.821992
0.5,17,"462,481,487",peach,683.0,2019-01-01 13:32:34.064583
1.0,1,"461,481,487",lime,682.0,2019-01-01 13:37:55.186044
1.0,4,"461,480,487",cranberry,681.0,2019-01-01 13:43:15.277460
0.5,1,"460,480,487",lime,680.5,2019-01-01 13:48:36.663183
1.0,-1,"460,480,487",water,679.5,2019-01-01 13:53:57.850649
0.5,4,"460,479,487",cranberry,679.0,2019-01-01 13:59:19.145031
0.5,4,"460,478,487",cranberry,678.5,2019-01-01 14:04:40.650223
0.5,17,"460,478,486",peach,678.0,2019-01-01 14:10:21.039969
1.0,1,"459,478,486",lime,677.0,2019-01-01 14:15:58.087671
0.5,4,"459,477,486",cranberry,676.5,2019-01-01 14:21:36.079562
0.5,1,"458,477,486",lime,676.0,2019-01-01 14:27:12.369412
0.5,-1,"458,477,486",water,675.5,2019-01-01 14:32:48.844082
1.0,1,"457,477,486",lime,674.5,2019-01-01 14:38:25.105218
0.5,1,"456,477,486",lime,674.0,2019-01-01 14:44:01.442519
0.5,1,"455,477,486",lime,673.5,2019-01-01 14:49:37.799268
1.0,17,"455,477,485",peach,672.5,2019-01-01 14:55:14.615863
0.5,4,"455,476,485",cranberry,672.0,2019-01-01 15:00:55.850277
1.0,-1,"455,476,485",water,671.0,2019-01-01 15:07:02.231129
0.5,-1,"455,476,485",water,670.5,2019-01-01 15:13:08.856113
0.5,4,"455,475,485",cranberry,670.0,2019-01-01 15:19:15.260134
0.5,17,"455,475,484",peach,669.5,2019-01-01 15:25:21.163213
1.0,4,"455,474,484",cranberry,668.5,2019-01-01 15:31:27.319765
1.0,1,"454,474,484",lime,667.5,2019-01-01 15:37:33.280297
1.0,4,"454,473,484",cranberry,666.5,2019-01-01 15:43:39.417366
1.0,-1,"454,473,484",water,665.5,2019-01-01 15:49:47.274832
0.5,-1,"454,473,484",water,665.0,2019-01-01 15:55:58.843524
1.0,-1,"454,473,484",water,664.0,2019-01-01 16:02:06.451278
0.5,1,"453,473,484",lime,663.5,2019-01-01 16:09:00.387334
1.0,4,"453,472,484",cranberry,662.5,2019-01-01 16:15:56.185774
1.0,1,"452,472,484",lime,661.5,2019-01-01 16:22:52.893482
1.0,4,"452,471,484",cranberry,660.5,2019-01-01 16:29:46.578623
1.0,4,"452,470,484",cranberry,659.5,2019-01-01 16:36:39.889405
1.0,4,"452,469,484",cranberry,658.5,2019-01-01 16:43:33.664090
0.5,-1,"452,469,484",water,658.0,2019-01-01 16:50:27.326095
1.0,17,"452,469,483",peach,657.0,2019-01-01 16:57:24.028128
1.0,4,"452,468,483",cranberry,656.0,2019-01-01 17:04:18.619289
0.5,4,"452,467,483",cranberry,655.5,2019-01-01 17:12:26.657714
1.0,1,"451,467,483",lime,654.5,2019-01-01 17:20:34.014247
1.0,4,"451,466,483",cranberry,653.5,2019-01-01 17:28:41.526789
0.5,1,"450,466,483",lime,653.0,2019-01-01 17:36:49.656209
1.0,17,"450,466,482",peach,652.0,2019-01-01 17:44:56.215846
1.0,4,"450,465,482",cranberry,651.0,2019-01-01 17:53:02.672410
1.0,4,"450,464,482",cranberry,650.0,2019-01-01 18:01:11.359629
0.5,-1,"450,464,482",water,649.5,2019-01-01 18:11:12.328886
1.0,1,"449,464,482",lime,648.5,2019-01-01 18:21:13.427703
1.0,1,"448,464,482",lime,647.5,2019-01-01 18:31:16.122685
1.0,1,"447,464,482",lime,646.5,2019-01-01 18:41:17.886368
1.0,1,"446,464,482",lime,645.5,2019-01-01 18:51:18.938502
0.5,-1,"446,464,482",water,645.0,2019-01-01 19:01:21.207194
1.0,1,"445,464,482",lime,644.0,2019-01-01 19:14:29.294741
1.0,4,"445,463,482",cranberry,643.0,2019-01-01 19:27:35.289784
0.5,1,"444,463,482",lime,642.5,2019-01-01 19:40:42.931620
1.0,4,"444,462,482",cranberry,641.5,2019-01-01 19:53:52.173311
1.0,4,"444,461,482",cranberry,640.5,2019-01-01 20:06:58.852133
1.0,4,"444,460,482",cranberry,639.5,2019-01-01 20:25:21.183092
1.0,4,"444,459,482",cranberry,638.5,2019-01-01 20:43:53.573754
1.0,1,"443,459,482",lime,637.5,2019-01-01 21:02:20.188733
0.5,4,"443,458,482",cranberry,637.0,2019-01-01 21:30:27.900376
1.0,1,"442,458,482",lime,636.0,2019-01-01 21:58:33.477002
1.0,1,"441,458,482",lime,635.0,2019-01-01 22:26:47.131846
1.0,1,"440,458,482",lime,634.0,2019-01-01 23:14:01.449110
0.5,4,"440,457,482",cranberry,633.5,2019-01-02 00:36:16.065087
0.5,1,"439,457,482",lime,633.0,2019-01-02 02:26:26.553649
0.5,1,"438,457,482",lime,632.5,2019-01-02 03:13:35.876044
1.0,4,"438,456,482",cranberry,631.5,2019-01-02 03:41:44.252273
1.0,1,"437,456,482",lime,630.5,2019-01-02 04:09:57.514206
1.0,1,"436,456,482",lime,629.5,2019-01-02 04:28:23.103694
1.0,17,"436,456,481",peach,628.5,2019-01-02 04:46:49.523427
1.0,1,"435,456,481",lime,627.5,2019-01-02 05:05:11.482099
1.0,17,"435,456,480",peach,626.5,2019-01-02 05:18:19.235955
1.0,1,"434,456,480",lime,625.5,2019-01-02 05:31:26.644635
1.0,4,"434,455,480",cranberry,624.5,2019-01-02 05:44:32.840939
1.0,-1,"434,455,480",water,623.5,2019-01-02 05:57:40.147113
1.0,4,"434,454,480",cranberry,622.5,2019-01-02 06:10:46.087097
0.5,1,"433,454,480",lime,622.0,2019-01-02 06:20:49.062560
0.5,4,"433,453,480",cranberry,621.5,2019-01-02 06:30:50.302437
1.0,4,"433,452,480",cranberry,620.5,2019-01-02 06:40:51.899613
1.0,1,"432,452,480",lime,619.5,2019-01-02 06:50:55.939632
1.0,4,"432,451,480",cranberry,618.5,2019-01-02 07:00:56.910616
0.5,1,"431,451,480",lime,618.0,2019-01-02 07:09:06.070707
1.0,4,"431,450,480",cranberry,617.0,2019-01-02 07:17:13.921612
1.0,1,"430,450,480",lime,616.0,2019-01-02 07:25:20.742549
0.5,1,"429,450,480",lime,615.5,2019-01-02 07:33:30.609525
1.0,4,"429,449,480",cranberry,614.5,2019-01-02 07:41:37.358137
0.5,17,"429,449,479",peach,614.0,2019-01-02 07:49:47.663154
0.5,4,"429,448,479",cranberry,613.5,2019-01-02 07:57:54.380030
1.0,-1,"429,448,479",water,612.5,2019-01-02 08:06:01.460706
0.5,-1,"429,448,479",water,612.0,2019-01-02 08:12:55.545447
0.5,1,"428,448,479",lime,611.5,2019-01-02 08:19:50.804932
1.0,1,"427,448,479",lime,610.5,2019-01-02 08:26:44.335687
1.0,1,"426,448,479",lime,609.5,2019-01-02 08:33:38.859530
1.0,4,"426,447,479",cranberry,608.5,2019-01-02 08:40:33.396872
0.5,1,"425,447,479",lime,608.0,2019-01-02 08:47:27.818261
1.0,1,"424,447,479",lime,607.0,2019-01-02 08:54:26.406700
1.0,1,"423,447,479",lime,606.0,2019-01-02 09:01:19.655211
1.0,4,"423,446,479",cranberry,605.0,2019-01-02 09:07:28.419292
0.5,17,"423,446,478",peach,604.5,2019-01-02 09:13:35.539567
1.0,-1,"423,446,478",water,603.5,2019-01-02 09:19:41.965289
1.0,17,"423,446,477",peach,602.5,2019-01-02 09:25:48.746252
1.0,1,"422,446,477",lime,601.5,2019-01-02 09:31:54.766576
1.0,4,"422,445,477",cranberry,600.5,2019-01-02 09:38:01.187986
0.5,1,"421,445,477",lime,600.0,2019-01-02 09:44:07.688163
1.0,1,"420,445,477",lime,599.0,2019-01-02 09:50:13.549842
0.5,-1,"420,445,477",water,598.5,2019-01-02 09:56:20.592820
1.0,1,"419,445,477",lime,597.5,2019-01-02 10:02:26.430711
1.0,1,"418,445,477",lime,596.5,2019-01-02 10:08:03.197970
1.0,4,"418,444,477",cranberry,595.5,2019-01-02 10:13:39.857845
0.5,17,"418,444,476",peach,595.0,2019-01-02 10:19:16.661762
0.5,-1,"418,444,476",water,594.5,2019-01-02 10:24:55.182975
0.5,1,"417,444,476",lime,594.0,2019-01-02 10:30:33.207914
1.0,1,"416,444,476",lime,593.0,2019-01-02 10:36:15.313534
0.5,-1,"416,444,476",water,592.5,2019-01-02 10:41:53.738291
1.0,17,"416,444,475",peach,591.5,2019-01-02 10:47:30.108566
1.0,4,"416,443,475",cranberry,590.5,2019-01-02 10:53:07.027970
0.5,-1,"416,443,475",water,590.0,2019-01-02 10:58:46.502234
1.0,1,"415,443,475",lime,589.0,2019-01-02 11:04:23.153241
1.0,4,"415,442,475",cranberry,588.0,2019-01-02 11:09:43.689327
