amount_vended_L,flavor_id,flavor_levels_after,flavor_name,tank_level_after,timestamp
1.0,4,"499,500,500",cranberry,749.0,2019-01-01 01:57:11.963632
0.5,4,"498,500,500",cranberry,748.5,2019-01-01 03:24:47.180477
1.0,4,"497,500,500",cranberry,747.5,2019-01-01 03:54:37.615563
1.0,4,"496,500,500",cranberry,746.5,2019-01-01 04:24:27.520416
1.0,24,"496,500,499",eucalyptus,745.5,2019-01-01 04:44:01.054622
1.0,24,"496,500,498",eucalyptus,744.5,2019-01-01 05:03:33.820723
1.0,4,"495,500,498",cranberry,743.5,2019-01-01 05:17:30.168780
1.0,4,"494,500,498",cranberry,742.5,2019-01-01 05:31:31.106530
0.5,19,"494,499,498",cucumber,742.0,2019-01-01 05:45:27.576644
0.5,4,"493,499,498",cranberry,741.5,2019-01-01 05:59:27.872871
1.0,4,"492,499,498",cranberry,740.5,2019-01-01 06:13:29.422643
0.5,4,"491,499,498",cranberry,740.0,2019-01-01 06:24:11.874480
0.5,-1,"491,499,498",water,739.5,2019-01-01 06:34:52.489027
1.0,4,"490,499,498",cranberry,738.5,2019-01-01 06:45:36.512300
0.5,19,"490,498,498",cucumber,738.0,2019-01-01 06:56:17.689926
1.0,19,"490,497,498",cucumber,737.0,2019-01-01 07:07:01.020198
0.5,19,"490,496,498",cucumber,736.5,2019-01-01 07:15:46.487696
1.0,19,"490,495,498",cucumber,735.5,2019-01-01 07:24:30.136492
0.5,-1,"490,495,498",water,735.0,2019-01-01 07:33:08.697293
1.0,24,"490,495,497",eucalyptus,734.0,2019-01-01 07:41:46.336709
1.0,4,"489,495,497",cranberry,733.0,2019-01-01 07:50:24.482179
0.5,24,"489,495,496",eucalyptus,732.5,2019-01-01 07:59:02.253947
1.0,4,"488,495,496",cranberry,731.5,2019-01-01 08:07:41.033272
0.5,24,"488,495,495",eucalyptus,731.0,2019-01-01 08:15:01.495611
1.0,-1,"488,495,495",water,730.0,2019-01-01 08:22:22.882734
1.0,24,"488,495,494",eucalyptus,729.0,2019-01-01 08:29:43.003169
1.0,4,"487,495,494",cranberry,728.0,2019-01-01 08:37:03.679955
1.0,4,"486,495,494",cranberry,727.0,2019-01-01 08:44:24.076023
0.5,-1,"486,495,494",water,726.5,2019-01-01 08:51:44.897308
1.0,24,"486,495,493",eucalyptus,725.5,2019-01-01 08:59:06.011693
0.5,-1,"486,495,493",water,725.0,2019-01-01 09:06:26.625795
1.0,4,"485,495,493",cranberry,724.0,2019-01-01 09:12:57.066748
1.0,24,"485,495,492",eucalyptus,723.0,2019-01-01 09:19:26.115696
1.0,4,"484,495,492",cranberry,722.0,2019-01-01 09:25:55.273159
1.0,4,"483,495,492",cranberry,721.0,2019-01-01 09:32:24.395065
0.5,4,"482,495,492",cranberry,720.5,2019-01-01 09:38:56.650929
0.5,-1,"482,495,492",water,720.0,2019-01-01 09:45:28.182638
