amount_vended_L,flavor_id,flavor_levels_after,flavor_name,tank_level_after,timestamp
1.0,12,"500,500,499",orange,499.0,2019-01-01 02:57:00.294481
1.0,12,"500,500,498",orange,498.0,2019-01-01 04:13:08.419077
0.5,13,"499,500,498",pear,497.5,2019-01-01 04:42:43.068948
0.5,-1,"499,500,498",water,497.0,2019-01-01 05:12:12.887263
1.0,13,"498,500,498",pear,496.0,2019-01-01 05:33:16.531670
1.0,13,"497,500,498",pear,495.0,2019-01-01 05:54:19.628200
1.0,12,"497,500,497",orange,494.0,2019-01-01 06:15:22.558769
1.0,12,"497,500,496",orange,493.0,2019-01-01 06:31:31.844138
0.5,13,"496,500,496",pear,492.5,2019-01-01 06:47:37.713059
1.0,-1,"496,500,496",water,491.5,2019-01-01 07:03:44.565900
1.0,13,"495,500,496",pear,490.5,2019-01-01 07:16:48.454052
0.5,13,"494,500,496",pear,490.0,2019-01-01 07:29:52.486699
1.0,13,"493,500,496",pear,489.0,2019-01-01 07:42:55.426278
1.0,13,"492,500,496",pear,488.0,2019-01-01 07:56:01.253559
0.5,-1,"492,500,496",water,487.5,2019-01-01 08:09:03.051984
0.5,12,"492,500,495",orange,487.0,2019-01-01 08:20:06.872431
1.0,12,"492,500,494",orange,486.0,2019-01-01 08:31:11.917518
1.0,12,"492,500,493",orange,485.0,2019-01-01 08:42:15.899159
0.5,13,"491,500,493",pear,484.5,2019-01-01 08:53:20.136088
1.0,-1,"491,500,493",water,483.5,2019-01-01 09:04:23.860279
0.5,12,"491,500,492",orange,483.0,2019-01-01 09:14:12.338829
0.5,13,"490,500,492",pear,482.5,2019-01-01 09:24:00.454957
1.0,12,"490,500,491",orange,481.5,2019-01-01 09:33:49.108778
0.5,13,"489,500,491",pear,481.0,2019-01-01 09:43:37.658851
1.0,-1,"489,500,491",water,480.0,2019-01-01 09:53:27.027722
1.0,13,"488,500,491",pear,479.0,2019-01-01 10:03:15.275074
1.0,13,"487,500,491",pear,478.0,2019-01-01 10:12:17.708362
0.5,12,"487,500,490",orange,477.5,2019-01-01 10:21:18.106285
0.5,13,"486,500,490",pear,477.0,2019-01-01 10:30:22.881492
1.0,13,"485,500,490",pear,476.0,2019-01-01 10:39:24.388280
1.0,13,"484,500,490",pear,475.0,2019-01-01 10:48:24.609235
1.0,12,"484,500,489",orange,474.0,2019-01-01 10:57:26.006909
0.5,-1,"484,500,489",water,473.5,2019-01-01 11:06:27.602004
1.0,12,"484,500,488",orange,472.5,2019-01-01 11:15:01.697021
0.5,13,"483,500,488",pear,472.0,2019-01-01 11:23:36.415999
0.5,12,"483,500,487",orange,471.5,2019-01-01 11:32:13.221251
0.5,-1,"483,500,487",water,471.0,2019-01-01 11:40:49.393070
1.0,-1,"483,500,487",water,470.0,2019-01-01 11:49:26.924408
0.5,12,"483,500,486",orange,469.5,2019-01-01 11:58:01.733779
1.0,12,"483,500,485",orange,468.5,2019-01-01 12:06:37.467916
1.0,12,"483,500,484",orange,467.5,2019-01-01 12:15:04.216287
1.0,-1,"483,500,484",water,466.5,2019-01-01 12:23:34.040387
0.5,-1,"483,500,484",water,466.0,2019-01-01 12:31:59.927170
0.5,13,"482,500,484",pear,465.5,2019-01-01 12:40:31.452829
