amount_vended_L,flavor_id,flavor_levels_after,flavor_name,tank_level_after,timestamp
1.0,13,"500,500,499",pear,749.0,2019-01-01 02:15:59.023404
1.0,20,"500,499,499",strawberry,748.0,2019-01-01 03:14:35.208551
0.5,20,"500,498,499",strawberry,747.5,2019-01-01 03:49:18.886191
0.5,-1,"500,498,499",water,747.0,2019-01-01 04:23:55.185404
1.0,13,"500,498,498",pear,746.0,2019-01-01 04:46:36.562906
1.0,13,"500,498,497",pear,745.0,2019-01-01 05:09:17.172302
1.0,13,"500,498,496",pear,744.0,2019-01-01 05:25:27.505771
1.0,20,"500,497,496",strawberry,743.0,2019-01-01 05:41:42.428935
0.5,20,"500,496,496",strawberry,742.5,2019-01-01 05:57:52.884461
0.5,13,"500,496,495",pear,742.0,2019-01-01 06:14:07.166100
1.0,20,"500,495,495",strawberry,741.0,2019-01-01 06:26:30.024802
0.5,-1,"500,495,495",water,740.5,2019-01-01 06:38:53.767604
0.5,-1,"500,495,495",water,740.0,2019-01-01 06:51:16.842130
1.0,20,"500,494,495",strawberry,739.0,2019-01-01 07:03:43.325383
0.5,20,"500,493,495",strawberry,738.5,2019-01-01 07:13:45.319716
1.0,20,"500,492,495",strawberry,737.5,2019-01-01 07:23:49.056674
0.5,20,"500,491,495",strawberry,737.0,2019-01-01 07:33:57.468239
1.0,20,"500,490,495",strawberry,736.0,2019-01-01 07:44:04.061101
0.5,-1,"500,490,495",water,735.5,2019-01-01 07:54:05.565968
1.0,13,"500,490,494",pear,734.5,2019-01-01 08:04:06.149451
1.0,13,"500,490,493",pear,733.5,2019-01-01 08:12:36.631895
0.5,13,"500,490,492",pear,733.0,2019-01-01 08:21:07.200669
0.5,13,"500,490,491",pear,732.5,2019-01-01 08:29:37.039225
0.5,20,"500,489,491",strawberry,732.0,2019-01-01 08:38:07.942800
1.0,-1,"500,489,491",water,731.0,2019-01-01 08:46:39.771159
1.0,13,"500,489,490",pear,730.0,2019-01-01 08:55:10.332829
1.0,20,"500,488,490",strawberry,729.0,2019-01-01 09:03:41.450851
1.0,13,"500,488,489",pear,728.0,2019-01-01 09:11:13.742711
0.5,-1,"500,488,489",water,727.5,2019-01-01 09:18:46.411054
1.0,13,"500,488,488",pear,726.5,2019-01-01 09:26:19.338906
0.5,-1,"500,488,488",water,726.0,2019-01-01 09:33:51.823811
1.0,13,"500,488,487",pear,725.0,2019-01-01 09:41:24.632954
0.5,-1,"500,488,487",water,724.5,2019-01-01 09:48:57.656879
1.0,13,"500,488,486",pear,723.5,2019-01-01 09:56:29.182530
