amount_vended_L,flavor_id,flavor_levels_after,flavor_name,tank_level_after,timestamp
1.0,25,"499,500,500",pine_needle,999.0,2019-01-01 01:48:31.123108
0.5,25,"498,500,500",pine_needle,998.5,2019-01-01 03:09:37.868028
1.0,24,"498,499,500",eucalyptus,997.5,2019-01-01 03:37:15.737699
1.0,25,"497,499,500",pine_needle,996.5,2019-01-01 04:04:53.077137
1.0,4,"497,499,499",cranberry,995.5,2019-01-01 04:22:59.804590
1.0,4,"497,499,498",cranberry,994.5,2019-01-01 04:41:05.763936
1.0,4,"497,499,497",cranberry,993.5,2019-01-01 04:59:11.490611
1.0,25,"496,499,497",pine_needle,992.5,2019-01-01 05:17:23.651890
0.5,24,"496,498,497",eucalyptus,992.0,2019-01-01 05:30:18.204230
0.5,25,"495,498,497",pine_needle,991.5,2019-01-01 05:43:16.582682
1.0,25,"494,498,497",pine_needle,990.5,2019-01-01 05:56:16.214680
0.5,25,"493,498,497",pine_needle,990.0,2019-01-01 06:09:14.421753
0.5,-1,"493,498,497",water,989.5,2019-01-01 06:19:07.687161
1.0,24,"493,497,497",eucalyptus,988.5,2019-01-01 06:29:04.361296
0.5,24,"493,496,497",eucalyptus,988.0,2019-01-01 06:38:58.189783
1.0,24,"493,495,497",eucalyptus,987.0,2019-01-01 06:48:54.170917
0.5,24,"493,494,497",eucalyptus,986.5,2019-01-01 06:58:55.926545
1.0,24,"493,493,497",eucalyptus,985.5,2019-01-01 07:08:55.435549
0.5,-1,"493,493,497",water,985.0,2019-01-01 07:16:55.665969
1.0,4,"493,493,496",cranberry,984.0,2019-01-01 07:24:54.975003
1.0,25,"492,493,496",pine_needle,983.0,2019-01-01 07:32:54.790092
0.5,4,"492,493,495",cranberry,982.5,2019-01-01 07:40:54.231478
1.0,24,"492,492,495",eucalyptus,981.5,2019-01-01 07:48:54.680421
0.5,24,"492,491,495",eucalyptus,981.0,2019-01-01 07:56:54.991390
1.0,-1,"492,491,495",water,980.0,2019-01-01 08:04:56.391284
1.0,4,"492,491,494",cranberry,979.0,2019-01-01 08:11:43.959185
1.0,25,"491,491,494",pine_needle,978.0,2019-01-01 08:18:32.083439
1.0,25,"490,491,494",pine_needle,977.0,2019-01-01 08:25:19.926974
0.5,-1,"490,491,494",water,976.5,2019-01-01 08:32:08.195726
1.0,4,"490,491,493",cranberry,975.5,2019-01-01 08:38:56.757579
0.5,-1,"490,491,493",water,975.0,2019-01-01 08:45:44.819148
1.0,24,"490,490,493",eucalyptus,974.0,2019-01-01 08:52:33.246924
0.5,-1,"490,490,493",water,973.5,2019-01-01 08:59:21.917286
