amount_vended_L,flavor_id,flavor_levels_after,flavor_name,tank_level_after,timestamp
1.0,11,"500,499,500",lemonade,999.0,2019-01-01 01:29:57.076758
1.0,11,"500,498,500",lemonade,998.0,2019-01-01 02:37:53.203579
0.5,22,"500,498,499",mint,997.5,2019-01-01 03:16:31.695240
0.5,-1,"500,498,499",water,997.0,2019-01-01 03:39:25.018043
1.0,11,"500,497,499",lemonade,996.0,2019-01-01 04:02:21.045449
1.0,11,"500,496,499",lemonade,995.0,2019-01-01 04:17:21.330404
1.0,11,"500,495,499",lemonade,994.0,2019-01-01 04:32:21.382686
1.0,11,"500,494,499",lemonade,993.0,2019-01-01 04:47:27.869574
0.5,22,"500,494,498",mint,992.5,2019-01-01 05:02:28.092977
0.5,11,"500,493,498",lemonade,992.0,2019-01-01 05:13:14.033059
1.0,22,"500,493,497",mint,991.0,2019-01-01 05:23:57.116934
0.5,-1,"500,493,497",water,990.5,2019-01-01 05:34:41.356933
0.5,-1,"500,493,497",water,990.0,2019-01-01 05:45:24.723037
1.0,11,"500,492,497",lemonade,989.0,2019-01-01 05:56:12.546683
0.5,22,"500,492,496",mint,988.5,2019-01-01 06:06:56.649117
1.0,22,"500,492,495",mint,987.5,2019-01-01 06:15:11.353311
0.5,22,"500,492,494",mint,987.0,2019-01-01 06:23:31.831998
1.0,22,"500,492,493",mint,986.0,2019-01-01 06:31:50.064061
0.5,-1,"500,492,493",water,985.5,2019-01-01 06:40:02.010975
1.0,11,"500,491,493",lemonade,984.5,2019-01-01 06:48:12.819710
1.0,11,"500,490,493",lemonade,983.5,2019-01-01 06:56:24.253570
0.5,11,"500,489,493",lemonade,983.0,2019-01-01 07:04:35.813002
0.5,11,"500,488,493",lemonade,982.5,2019-01-01 07:11:12.883551
0.5,11,"500,487,493",lemonade,982.0,2019-01-01 07:17:51.208153
1.0,-1,"500,487,493",water,981.0,2019-01-01 07:24:30.621682
1.0,11,"500,486,493",lemonade,980.0,2019-01-01 07:31:08.543693
1.0,11,"500,485,493",lemonade,979.0,2019-01-01 07:37:47.120805
1.0,11,"500,484,493",lemonade,978.0,2019-01-01 07:44:25.367374
0.5,-1,"500,484,493",water,977.5,2019-01-01 07:51:04.114631
