amount_vended_L,flavor_id,flavor_levels_after,flavor_name,tank_level_after,timestamp
1.0,12,"499,500,500",orange,999.0,2019-01-01 02:40:01.763836
0.5,12,"498,500,500",orange,998.5,2019-01-01 03:48:31.478704
1.0,16,"498,499,500",pomegranate,997.5,2019-01-01 04:29:15.984687
1.0,12,"497,499,500",orange,996.5,2019-01-01 04:55:56.353853
1.0,0,"497,499,499",lemon,995.5,2019-01-01 05:22:38.188093
1.0,0,"497,499,498",lemon,994.5,2019-01-01 05:41:40.201206
1.0,0,"497,499,497",lemon,993.5,2019-01-01 06:00:42.048358
1.0,12,"496,499,497",orange,992.5,2019-01-01 06:15:18.740031
0.5,16,"496,498,497",pomegranate,992.0,2019-01-01 06:29:52.015258
0.5,12,"495,498,497",orange,991.5,2019-01-01 06:44:28.216352
1.0,12,"494,498,497",orange,990.5,2019-01-01 06:59:05.376043
0.5,0,"494,498,496",lemon,990.0,2019-01-01 07:13:41.446081
0.5,-1,"494,498,496",water,989.5,2019-01-01 07:25:29.160641
1.0,0,"494,498,495",lemon,988.5,2019-01-01 07:37:19.634654
0.5,0,"494,498,494",lemon,988.0,2019-01-01 07:49:07.805041
1.0,16,"494,497,494",pomegranate,987.0,2019-01-01 08:00:57.718053
0.5,0,"494,497,493",lemon,986.5,2019-01-01 08:11:04.590093
1.0,16,"494,496,493",pomegranate,985.5,2019-01-01 08:21:09.917578
0.5,-1,"494,496,493",water,985.0,2019-01-01 08:31:10.924024
1.0,0,"494,496,492",lemon,984.0,2019-01-01 08:41:11.147972
1.0,12,"493,496,492",orange,983.0,2019-01-01 08:51:11.801693
0.5,0,"493,496,491",lemon,982.5,2019-01-01 09:01:12.138043
1.0,0,"493,496,490",lemon,981.5,2019-01-01 09:10:04.429359
0.5,0,"493,496,489",lemon,981.0,2019-01-01 09:18:56.616927
1.0,-1,"493,496,489",water,980.0,2019-01-01 09:27:49.623293
1.0,0,"493,496,488",lemon,979.0,2019-01-01 09:36:41.508141
1.0,12,"492,496,488",orange,978.0,2019-01-01 09:45:33.885579
1.0,12,"491,496,488",orange,977.0,2019-01-01 09:54:26.014471
0.5,-1,"491,496,488",water,976.5,2019-01-01 10:03:18.519847
1.0,0,"491,496,487",lemon,975.5,2019-01-01 10:11:28.220049
0.5,-1,"491,496,487",water,975.0,2019-01-01 10:19:37.513107
1.0,0,"491,496,486",lemon,974.0,2019-01-01 10:27:47.104195
0.5,-1,"491,496,486",water,973.5,2019-01-01 10:35:56.892704
1.0,12,"490,496,486",orange,972.5,2019-01-01 10:44:05.304047
1.0,0,"490,496,485",lemon,971.5,2019-01-01 10:52:13.682709
0.5,0,"490,496,484",lemon,971.0,2019-01-01 11:00:22.445994
1.0,-1,"490,496,484",water,970.0,2019-01-01 11:08:08.411086
1.0,0,"490,496,483",lemon,969.0,2019-01-01 11:15:53.894798
0.5,-1,"490,496,483",water,968.5,2019-01-01 11:23:40.284876
1.0,16,"490,495,483",pomegranate,967.5,2019-01-01 11:31:25.517487
1.0,12,"489,495,483",orange,966.5,2019-01-01 11:39:11.322456
1.0,0,"489,495,482",lemon,965.5,2019-01-01 11:46:56.240626
0.5,-1,"489,495,482",water,965.0,2019-01-01 11:54:41.169797
0.5,0,"489,495,481",lemon,964.5,2019-01-01 12:02:31.830847
